Countries Global North/ Global South classification,GS, italian_label
Afghanistan,GS,Afghanistan
Albania,GS,Albania
Algeria,GS,Algeria
Andorre,GS,Andorra
Angola,GS,Angola
Anguilla,GS,Anguilla
Antigua and Barbuda,GS,Antigua e Barbuda
Argentina,GS,Argentina
Armenia,GS,Armenia
Aruba,GS,Aruba
Azerbaijan,GS,Azerbaigian
Bahamas,GS,Bahamas
Bahrain,GS,Bahrein
Bangladesh,GS,Bangladesh
Barbados,GS,Barbados
Belarus,GS,Bielorussia
Belize,GS,Belize
Benin,GS,Benin
Bhutan,GS,Bhutan
Bolivia,GS,Bolivia
Bosnia and Herzegovina,GS,Bosnia ed Erzegovina
Botswana,GS,Botswana
Brazil,GS,Brasile
Brunei Darussalam,GS,Brunei Darussalam
Bulgaria,GS,Bulgaria
Burkina Faso,GS,Burkina Faso
Burundi,GS,Burundi
Cambodia,GS,Cambogia
Cameroon,GS,Camerun
Cape Verde,GS,Capo Verde
Central African Republic,GS,Repubblica Centrafricana
Chad,GS,Chad
Channel Islands,GS,Isole del Canale
Chile,GS,Chile
China,GS,Cina
"China, Macao Special Administrative Region",GS,"Cina, Regione amministrativa speciale di Macao"
Colombia,GS,Colombia
Comoros,GS,Comore
Congo,GS,Congo
"Congo, the Democratic Republic of the",GS,"Congo, Repubblica Democratica del"
Costa Rica,GS,Costa Rica
Côte d'Ivoire,GS,Costa d'Avorio
Croatia,GS,Croazia
Cuba,GS,Cuba
Cyprus,GS,Cipro
Czech Republic,GS,Repubblica Ceca
Djibouti,GS,Gibuti
Dominica,GS,Dominica
Dominican Republic,GS,Repubblica Dominicana
Ecuador,GS,Ecuador
Egypt,GS,Egitto
El Salvador,GS,El Salvador
Equatorial Guinea,GS,Guinea Equatoriale
Eritrea,GS,Eritrea
Ethiopia,GS,Etiopia
Fiji,GS,Figi
French Guiana,GS,Guyana Francese
French Polynesia,GS,Polinesia Francese
Gabon,GS,Gabon
Gambia,GS,Gambia
Georgia,GS,Georgia
Ghana,GS,Ghana
Grenada,GS,Grenada
Guadeloupe,GS,Guadalupa
Guam,GS,Guam
Guatemala,GS,Guatemala
Guinea,GS,Guinea
Guinea-Bissau,GS,Guinea-Bissau
Guyana,GS,Guyana
Haiti,GS,Haiti
Honduras,GS,Honduras
Hong Kong,GS,Hong Kong
India,GS,India
Indonesia,GS,Indonesia
"Iran, Islamic Republic of",GS,"Iran, Repubblica Islamica dell'"
Iraq,GS,Iraq
Jamaica,GS,Giamaica
Jordan,GS,Giordania
Kazakhstan,GS,Kazakistan
