source,target,weight
10004,134486,13
10004,137997,11
10004,209275,11
10004,685651,12
10004,714939,11
10004,714941,16
10004,714957,12
1000443,1011174,16
1000443,1023156,16
1000443,1032361,16
1000443,1033336,16
1000443,1034485,16
1000443,1039765,16
1000443,1069552,16
1000443,1093243,16
1000443,1100955,16
1000443,984543,16
1000443,986862,16
1000443,997094,16
1000472,134486,11
1000472,253706,11
1000472,261380,11
1000472,265216,12
1000472,303196,11
1000472,35515,12
1000472,543861,11
1000472,664818,11
1000472,714957,13
1000472,988406,11
100053,168791,16
1001269,134486,14
1001281,1024173,15
1001298,1042326,13
1001298,140951,13
1001298,406762,15
1001298,481830,13
1001298,50299,13
1001298,543010,12
1001298,775880,12
1001298,918859,12
1001609,885233,12
1001628,138225,11
100175,81526,13
10018,1035983,11
10018,1042882,11
10018,1044376,11
10018,12518,11
10018,12951,11
10018,14265,11
10018,20768,11
10018,22303,11
10018,22904,11
10018,238275,11
10018,272101,11
10018,300713,11
10018,355758,11
10018,355759,11
10018,408249,11
10018,452649,11
10018,544220,11
10018,593275,11
10018,696058,11
10018,742283,11
10018,745380,11
10018,745911,11
10018,883259,11
10018,888058,11
10018,956266,11
100220,1071503,14
100220,134486,12
100220,137951,11
100220,162320,12
100220,169338,14
100220,209371,12
100220,210410,11
100220,210482,11
100220,275123,14
100220,275203,12
100220,330546,13
100220,36602,15
100220,399345,11
100220,401592,12
100220,401633,11
100220,402361,14
100220,402901,11
100220,521637,11
100220,565404,12
100220,566051,12
100220,660486,13
100220,669852,12
100220,714945,12
100220,714957,18
100220,734384,12
100220,734543,12
100220,747596,13
100220,747600,14
100220,747655,11
100220,747753,13
100220,76316,12
100220,796429,12
100220,802134,13
100220,802140,12
100220,802171,13
100220,802183,11
100220,802264,12
100220,802696,12
100220,802709,11
100220,802747,11
100220,802829,13
100220,802851,12
100220,802868,11
100220,803068,11
100220,803249,11
100220,803250,12
100220,803412,11
100220,803471,13
100220,803475,11
100220,805094,12
100220,805732,11
100220,805769,11
100220,806524,11
100220,886794,11
1002342,1021331,13
1002342,984752,13
1002342,988444,13
1002605,871092,12
100269,100285,11
100269,58851,11
100269,59564,11
100285,112705,15
100285,11672,16
100285,207288,19
100285,531063,15
100285,58851,25
100285,59564,26
100285,59569,19
100285,59587,22
100285,90731,19
1003154,137221,11
1003154,224004,12
10033,14206,11
1003460,940737,11
1003929,468927,11
1003929,987637,11
1004183,1105106,11
1004185,987637,11
1004214,830919,11
1004235,707994,11
1004235,830919,11
1004283,1005737,16
1004283,1012546,16
1004283,1021616,16
1004306,1093659,11
1004306,169537,11
1004306,169538,11
1004306,209364,11
1004306,23623,11
1004306,277308,12
1004306,281455,12
1004306,288753,11
1004306,437070,11
1004306,565262,11
1004306,572293,11
1004306,805727,11
1004306,863591,11
1004452,803842,11
1004452,837113,11
1004452,838380,11
1004452,891900,11
1004670,1088578,11
1004670,864969,21
1004677,134486,14
1004677,332271,11
1004677,714957,11
1004677,745450,11
1004833,1061096,11
1004833,1062509,12
1004833,1077175,12
1004833,109841,16
1004833,13531,11
1004833,13811,12
1004833,141947,11
1004833,14694,11
1004833,223802,11
1004833,227576,12
1004833,22945,11
1004833,230178,13
1004833,236737,11
1004833,312705,13
1004833,41281,12
1004833,43376,11
1004833,505132,11
1004833,53635,12
1004833,558041,11
1004833,597975,13
1004833,602526,12
1004833,61860,12
1004833,65135,12
1004833,665090,11
1004833,671587,14
1004833,671604,11
1004833,692831,12
1004833,712905,11
1004833,717308,11
1004833,753415,11
1004833,806502,12
1004833,806598,13
1004833,806908,12
1004833,806919,12
1004833,807322,12
1004833,85078,12
1004833,851535,12
1004833,855090,11
100512,136192,11
100512,33381,11
1005540,883575,13
1005541,826549,14
1005541,841109,11
1005737,1012546,16
1005737,1021616,16
1006237,1006504,23
1006237,137997,11
1006237,154540,11
1006237,169337,12
1006237,22945,11
1006237,240253,18
1006237,268577,17
1006237,303196,12
1006237,344678,21
1006237,364162,21
1006237,405139,11
1006237,527833,21
1006237,538138,11
1006237,565434,11
1006237,611293,21
1006237,617641,11
1006237,665000,11
1006237,665088,11
1006237,68694,12
1006237,744753,11
1006237,774833,12
1006237,784204,13
1006237,790024,24
1006237,797055,12
1006237,805237,13
1006237,806518,12
1006237,806537,11
1006237,807322,11
1006237,807492,11
1006237,855247,11
1006237,901523,23
1006504,1023081,11
1006504,1030069,11
1006504,1081363,11
1006504,134486,11
1006504,137997,12
1006504,154540,11
1006504,16606,11
1006504,169337,12
1006504,22945,11
1006504,240253,18
1006504,265216,11
1006504,268577,17
1006504,303196,13
1006504,344678,21
1006504,35515,11
1006504,364162,21
1006504,527833,21
1006504,538138,11
1006504,565434,11
1006504,611293,21
1006504,617641,11
1006504,665000,12
1006504,665088,11
1006504,68694,14
1006504,691658,11
1006504,712909,11
1006504,744753,11
1006504,744770,11
1006504,774833,13
1006504,784204,15
1006504,790024,24
1006504,797023,11
1006504,797055,12
1006504,805237,13
1006504,806518,12
1006504,806537,11
1006504,806592,11
1006504,806632,11
1006504,807322,11
1006504,807492,12
1006504,822256,11
1006504,822266,11
1006504,855247,13
1006504,901523,26
1006504,937660,11
1006511,11934,11
100792,115978,17
1008867,446593,12
1008867,93586,11
1008984,169535,13
100906,419558,11
10091,12270,11
10091,18198,13
10091,830246,11
1009664,766441,19
1009702,968113,23
1009814,1017820,11
1009814,791160,21
1010326,992927,23
1011174,1023156,16
1011174,1032361,16
1011174,1033336,16
1011174,1034485,16
1011174,1039765,16
1011174,1069552,16
1011174,1093243,16
1011174,1100955,16
1011174,984543,16
1011174,986862,16
1011174,997094,16
1011238,1045870,16
1011499,253706,12
1011499,988455,14
1012022,827411,12
1012546,1021616,16
1012567,180495,14
1012567,223989,14
1014196,1039872,13
