year,Title,Items,Text,href
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Presidente,Pietrangelo Buttafuoco,https://asac.labiennale.org/persone/407010
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Presidente,Roberto Cicutto,https://asac.labiennale.org/persone/39157
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
2013,55. Esposizione Internazionale d'Arte : Il Palazzo Enciclopedico,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
2011,54. Esposizione Internazionale d'Arte : ILLUMInazioni,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
2009,53. Esposizione Internazionale d'Arte : Fare Mondi,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
2007,"52. Esposizione Internazionale d'Arte : Pensa con i sensi, senti con la mente: l'arte al presente",Presidente,Davide Croff,https://asac.labiennale.org/persone/365346
2005,51. Esposizione Internazionale d'Arte - L'esperienza dell'arte | Sempre un po' più lontano,Presidente,Davide Croff,https://asac.labiennale.org/persone/365346
2003,50. Esposizione Internazionale d'Arte : Sogni e Conflitti - La dittatura dello spettatore,Presidente,Franco Bernabè,https://asac.labiennale.org/persone/367262
2001,49. Esposizione Internazionale d'Arte : Platea dell'Umanità - Plateau of Humankind - Plateau der Menschheit - Plateau de L'Humanité,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
1999,48. Esposizione Internazionale d'Arte : dAPERTutto/APERTO overALL/Aperto parTOUT/Aperto uber all,Presidente,Paolo Baratta,https://asac.labiennale.org/persone/367905
1997,47. Esposizione Internazionale d'Arte,Presidente,Lino Miccichè,https://asac.labiennale.org/persone/309923
1995,46. Esposizione Internazionale d'Arte,Presidente,Gian Luigi Rondi,https://asac.labiennale.org/persone/311895
1993,45. Esposizione Internazionale d'Arte : punti cardinali dell'arte,Presidente,Gian Luigi Rondi,https://asac.labiennale.org/persone/311895
1990,44. Esposizione Internazionale d'Arte : Dimensione Futuro - L'artista e lo Spazio,Presidente,Paolo Portoghesi,https://asac.labiennale.org/persone/366778
1988,43. Esposizione Internazionale d'Arte : il luogo degli artisti,Presidente,Paolo Portoghesi,https://asac.labiennale.org/persone/366778
1986,42. Esposizione Internazionale d'Arte : arte e scienza,Presidente,Paolo Portoghesi,https://asac.labiennale.org/persone/366778
1984,"41. Esposizione Internazionale d'Arte: Arte e Arti, Attualità e Storia",Presidente,Paolo Portoghesi,https://asac.labiennale.org/persone/366778
