id,name,first_name,last_name,birth_year,birth_location,death_year,death_location,nationality,gender,sector,media,profile_link,ranking
249848,Pacita Abad,Pacita,Abad,1946.0,(PH),2004.0,(SG),Philippines,f,Contemporary,Painting,https://artfacts.net/artist/pacita-abad/249848,"Top 10,000"
175899,Mariam Abdel Aleem,Mariam,Abdel Aleem,1930.0,,2010.0,,Egypt,f,Post-War,,https://artfacts.net/artist/mariam-abdel-aleem/175899,"Top 10,000"
537389,Angelo Accardi,Angelo,Accardi,1964.0,Sapri,,,,m,Contemporary,,https://artfacts.net/artist/angelo-accardi/537389,"Top 100,000"
609691,Tunji Adeniyi-Jones,Tunji,Adeniyi-Jones,1992.0,London (UK),,,United Kingdom,m,Ultra-Contemporary,Painting,https://artfacts.net/artist/tunji-adeniyi-jones/609691,"Top 10,000"
123389,Etel Adnan,Etel,Adnan,1925.0,Beirut (LB),2021.0,Paris,"['United States', 'Lebanon']",f,Post-War,Painting,https://artfacts.net/artist/etel-adnan/123389,Top 100
583513,Sandy Adsett,Sandy,Adsett,1939.0,Wairoa,,,New Zealand,,Post-War,,https://artfacts.net/artist/sandy-adsett/583513,"Top 10,000"
70626,Affandi,,Affandi,1907.0,"Cirebon, West Java (ID)",1990.0,,Indonesia,m,Modern,Painting,https://artfacts.net/artist/affandi/70626,"Top 10,000"
136125,Inji Aflatoun,Inji,Aflatoun,1924.0,,1989.0,,Egypt,f,Post-War,Painting,https://artfacts.net/artist/inji-aflatoun/136125,"Top 10,000"
536500,Zubeida Agha,Zubeida,Agha,1922.0,,1997.0,,Pakistan,f,Post-War,Painting,https://artfacts.net/artist/zubeida-agha/536500,"Top 10,000"
774125,Agnes?,,Agnes?,1995.0,Rome,,,Italy,f,Ultra-Contemporary,,https://artfacts.net/artist/agnes/774125,"Top 10,000"
329157,Shahjahan Ahmed Bikash,Shahjahan,Ahmed Bikash,,Dhaka,,,Bangladesh,m,,,https://artfacts.net/artist/shahjahan-ahmed-bikash/329157,"Top 100,000"
189768,Irwan Ahmett,Irwan,Ahmett,,,,,,,,,https://artfacts.net/artist/irwan-ahmett/189768,"Top 10,000"
195551,John Akomfrah,John,Akomfrah,1957.0,Accra (GH),,,"['United Kingdom', 'Ghana']",m,Contemporary,Film,https://artfacts.net/artist/john-akomfrah/195551,"Top 1,000"
461492,Ishola Akpo,Ishola,Akpo,1983.0,,,,,,Ultra-Contemporary,,https://artfacts.net/artist/ishola-akpo/461492,"Top 10,000"
493469,Alia Al Farsi,Alia,Al Farsi,,"Muscat, Oman",,,Oman,f,,Painting,https://artfacts.net/artist/alia-al-farsi/493469,"Top 10,000"
93491,Mounira Al Solh,Mounira,Al Solh,1978.0,Beirut (LB),,,Lebanon,f,Ultra-Contemporary,"Painting, Photography, Time-Based Media",https://artfacts.net/artist/mounira-al-solh/93491,"Top 1,000"
126749,Dia Al-Azzawi,Dia,Al-Azzawi,1939.0,Baghdad (IQ),,,Iraq,m,Post-War,Painting,https://artfacts.net/artist/dia-al-azzawi/126749,"Top 10,000"
169770,Manal Al-Dowayan,Manal,Al-Dowayan,1973.0,,,,Saudi Arabia,f,Contemporary,,https://artfacts.net/artist/manal-al-dowayan/169770,"Top 10,000"
126705,Rafa Al-Nasiri,Rafa,Al-Nasiri,1940.0,Tekrit (IQ),2013.0,,Iraq,m,Post-War,Painting,https://artfacts.net/artist/rafa-al-nasiri/126705,"Top 10,000"
140031,Rashad Alakbarov,Rashad,Alakbarov,1979.0,Baku (AZ),,,Azerbaijan,m,Ultra-Contemporary,,https://artfacts.net/artist/rashad-alakbarov/140031,"Top 10,000"
956357,Claudia Alarcón,Claudia,Alarcón,,,,,,f,,,https://artfacts.net/artist/claudia-alarcon/956357,"Top 10,000"
55199,Brooke Alfaro,Brooke,Alfaro,1949.0,Panama City (PA),,,Panama,m,Contemporary,"Painting, Time-Based Media",https://artfacts.net/artist/brooke-alfaro/55199,"Top 10,000"
16098,Tarsila do Amaral,Tarsila do,Amaral,1886.0,Capivari (BR),1973.0,"São Paulo, SP (BR)",Brazil,f,Modern,Painting,https://artfacts.net/artist/tarsila-do-amaral/16098,"Top 10,000"
78073,Olga de Amaral,Olga de,Amaral,1932.0,Bogotá (CO),,,Colombia,f,Post-War,Textile Art/Fiber Art,https://artfacts.net/artist/olga-de-amaral/78073,"Top 10,000"
396728,Giulia Andreani,Giulia,Andreani,1985.0,Venice,,,Italy,f,Ultra-Contemporary,,https://artfacts.net/artist/giulia-andreani/396728,"Top 10,000"
34903,Claudia Andujar,Claudia,Andujar,1931.0,Neuchâtel (CH),,,Brazil,f,Post-War,Photography,https://artfacts.net/artist/claudia-andujar/34903,"Top 1,000"
207485,Iván Argote,Iván,Argote,1983.0,Bogotá (CO),,,Colombia,m,Ultra-Contemporary,,https://artfacts.net/artist/ivan-argote/207485,"Top 1,000"
457584,Karimah Ashadu,Karimah,Ashadu,1985.0,London (UK),,,"['United Kingdom', 'Nigeria']",f,Ultra-Contemporary,,https://artfacts.net/artist/karimah-ashadu/457584,"Top 10,000"
346489,Matthew Attard,Matthew,Attard,1987.0,,,,['Malta'],m,Ultra-Contemporary,,https://artfacts.net/artist/matthew-attard/346489,"Top 10,000"
459228,Dana Awartani,Dana,Awartani,1987.0,"Jeddah, Saudi Arabia",,,Saudi Arabia,f,Ultra-Contemporary,"Painting, Sculpture, Installation Art, Performance/Happening",https://artfacts.net/artist/dana-awartani/459228,"Top 10,000"
568027,Ochirbold Ayurzana,Ochirbold,Ayurzana,1976.0,Sukhbaatar province,,,Mongolia,m,Ultra-Contemporary,,https://artfacts.net/artist/ochirbold-ayurzana/568027,"Top 10,000"
472927,Margarita Azurdia,Margarita,Azurdia,1931.0,Antigua Guatemala,1998.0,Guatemala City,Guatemala,f,Post-War,,https://artfacts.net/artist/margarita-azurdia/472927,"Top 10,000"
1003209,BREAKFAST,,BREAKFAST,,1980,,,['United States'],m,Ultra-Contemporary,"Kinetic art, Digital Art, New Media Art",https://artfacts.net/artist/breakfast/1003209,"Top 10,000"
558210,Leilah Babirye,Leilah,Babirye,1985.0,Kampala,,,Uganda,f,Ultra-Contemporary,"Sculpture, Ceramic Art",https://artfacts.net/artist/leilah-babirye/558210,"Top 10,000"
93968,Líbero Badii,Líbero,Badii,1916.0,,2001.0,,Argentina,m,Post-War,Sculpture,https://artfacts.net/artist/libero-badii/93968,"Top 10,000"
342728,Darja Bajagic,Darja,Bajagic,1990.0,Podgorica (ME),,,Montenegro,f,Ultra-Contemporary,,https://artfacts.net/artist/darja-bajagic/342728,"Top 10,000"
703813,Denilson Baniwa,Denilson,Baniwa,1984.0,Amazonia,,,Brazil,m,Ultra-Contemporary,,https://artfacts.net/artist/denilson-baniwa/703813,"Top 10,000"
