person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
498973,Sergei Shutov,Artista,2013,Lost in Translation (Evento Collaterale),765,event,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1977,"Grafica cecoslovacca: 11 anni di ricerca, 1965-1975",7468,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1977,La nuova arte sovietica: una prospettiva non ufficiale,8057,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1978,Retrospettiva - Ketty La Rocca,5610,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1978,Retrospettiva - Domenico Gnoli,5609,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1978,L'immagine provocata,5607,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1978,"Utopia e crisi dell'antinatura: momenti di intenzioni architettoniche in Italia - Immaginazione megastrutturale, dal Futurismo a oggi",5606,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1978,Utopia e crisi dell'antinatura: momenti di intenzioni architettoniche in Italia - Topologia e morfogenesi,7407,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Allestimento,1978,Retrospettiva - Claudio Cintoli,5608,section,annali_arti_visive
421277,Pier Daniele Mozzetti Monterumici,Coordinamento degli allestimenti,1978,38. Esposizione Internazionale d'Arte: dalla natura all'arte dall'arte alla natura,239,manifestazione,annali_arti_visive
352157,Cindy Sherman,Artista,1997,Artisti per Sarajevo (Mostra patrocinata),398,event,annali_arti_visive
352157,Cindy Sherman,Artista,2019,Artists Need to Create on the Same Scale that Society Has the Capacity to Destroy: Mare Nostrum (Evento collaterale),1545,event,annali_arti_visive
352157,Cindy Sherman,Giuria Venezia 56,1999,56. Mostra Internazionale d’Arte Cinematografica,72,manifestazione,annali_cinema
384838,Umberto Curi,Relatore,2010,Don Giovanni e la musica,2530,event,annali_musica
384838,Umberto Curi,Consiglio Direttivo,1988,45. Mostra Internazionale del Cinema,61,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1988,43. Esposizione Internazionale d'Arte : il luogo degli artisti,243,manifestazione,annali_arti_visive
384838,Umberto Curi,Consiglio Direttivo,1989,46. Mostra Internazionale d’Arte Cinematografica,62,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1990,47. Mostra Internazionale d'Arte Cinematografica,63,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1990,44. Esposizione Internazionale d'Arte : Dimensione Futuro - L'artista e lo Spazio,244,manifestazione,annali_arti_visive
384838,Umberto Curi,Consiglio Direttivo,1991,48. Mostra Internazionale d'Arte Cinematografica,64,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1991,Quinta Mostra Internazionale di Architettura,94,manifestazione,annali_architettura
384838,Umberto Curi,Consiglio Direttivo,1992,49. Mostra Internazionale d’Arte Cinematografica,65,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1992,Architettura e Spazio Sacro nella Modernità,441,manifestazione,altro
384838,Umberto Curi,Consiglio Direttivo,1993,50. Mostra Internazionale d’Arte Cinematografica,66,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1993,45. Esposizione Internazionale d'Arte : punti cardinali dell'arte,249,manifestazione,annali_arti_visive
384838,Umberto Curi,Consiglio Direttivo,1994,51. Mostra Internazionale d’Arte Cinematografica,67,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1995,52. Mostra Internazionale d’Arte Cinematografica,68,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1995,46. Esposizione Internazionale d'Arte,248,manifestazione,annali_arti_visive
384838,Umberto Curi,Consiglio Direttivo,1996,53. Mostra Internazionale d’Arte Cinematografica,69,manifestazione,annali_cinema
384838,Umberto Curi,Consiglio Direttivo,1996,6. Mostra Internazionale di Architettura : Sensori del futuro. L’architetto come sismografo,95,manifestazione,annali_architettura
500079,Kahlil Joseph,Giuria Orizzonti,2023,80. Mostra Internazionale d'Arte Cinematografica,515,manifestazione,annali_cinema
365762,Sergio Vega,Relatore,2005,"Conferenza stampa ""A global warning"" di Sergio Vega",1490,event,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Capolavori della pittura del XX secolo (1900-1945),5601,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi,5602,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Argentina,8771,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Austria,8772,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Belgio,8773,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Brasile,8774,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Canada,8775,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Cecoslovacchia,8776,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Cile,8777,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Cipro,8787,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Columbia,8788,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Corea,8789,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Cuba,8790,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Danimarca,8826,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Ecuador,8827,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Finlandia,8828,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Francia,8829,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Germania,8831,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Giappone,8832,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Gran Bretagna,8843,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Grecia,8844,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Guatemala,8845,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - India,8846,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Irlanda,8847,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Israele,8848,section,annali_arti_visive
424635,Mauro Reggiani,Commissario,1972,Grafica d'oggi - Italia,8849,section,annali_arti_visive
424635,Mauro Reggiani,Sottocommissione per la Esposizione d'Arte,1972,36. Esposizione Biennale Internazionale d'Arte,237,manifestazione,annali_arti_visive
376766,Fritz Von Uhde,Comitato di patrocinio,1899,Sala straniera: Germania,1670,section,annali_arti_visive
376766,Fritz Von Uhde,Comitato di Patrocinio,1895,Prima Esposizione Internazionale d'Arte della Città di Venezia,212,manifestazione,annali_arti_visive
376766,Fritz Von Uhde,Comitato di Patrocinio,1897,2. Esposizione Internazionale d'Arte della Città di Venezia,213,manifestazione,annali_arti_visive
376766,Fritz Von Uhde,Comitato di Patrocinio,1899,3. Esposizione Internazionale d'Arte della Città di Venezia,214,manifestazione,annali_arti_visive
463648,James Thrall Soby,Commissario,1950,I Firmatari del primo Manifesto Futurista,4530,section,annali_arti_visive
463648,James Thrall Soby,Comitato Internazionale di esperti,1952,26. Biennale di Venezia,229,manifestazione,annali_arti_visive
463648,James Thrall Soby,Comitato Internazionale di esperti,1954,27. Esposizione Biennale Internazionale d'Arte,27,manifestazione,annali_arti_visive
463648,James Thrall Soby,Comitato Internazionale di esperti,1956,28. Esposizione Biennale Internazionale d'Arte,230,manifestazione,annali_arti_visive
463648,James Thrall Soby,Comitato Internazionale di esperti,1960,30. Biennale Internazionale d'Arte,232,manifestazione,annali_arti_visive
384030,Costantino Dardi,Configurazione degli spazi,1978,Sei stazioni per artenatura. La natura dell'arte - I. La grande astrazione. Il grande realismo,7793,section,annali_arti_visive
384030,Costantino Dardi,Configurazione degli spazi,1978,Sei stazioni per artenatura. La natura dell'arte - II. Finestra / Interno,7794,section,annali_arti_visive
384030,Costantino Dardi,Configurazione degli spazi,1978,Sei stazioni per artenatura. La natura dell'arte - III. L'iconosfera urbana,7795,section,annali_arti_visive
384030,Costantino Dardi,Configurazione degli spazi,1978,Sei stazioni per artenatura. La natura dell'arte - IV. Convenzione della visione,7796,section,annali_arti_visive
384030,Costantino Dardi,Configurazione degli spazi,1978,Sei stazioni per artenatura. La natura dell'arte - V. L'entropia dell'arte,7797,section,annali_arti_visive
384030,Costantino Dardi,Configurazione degli spazi,1978,Sei stazioni per artenatura. La natura dell'arte - VI. Natura / antinatura,7798,section,annali_arti_visive
384030,Costantino Dardi,Curatore,1980,La presenza del passato - Strada Novissima,3364,section,annali_architettura
384030,Costantino Dardi,Partecipante,2008,Le visioni dell'architetto. Tracce dagli archivi italiani di architettura (evento collaterale),350,event,annali_architettura
384030,Costantino Dardi,Commissione del settore Architettura,1979,Venezia e lo spazio scenico,442,manifestazione,annali_teatro
384030,Costantino Dardi,Commissione del settore Architettura,1980,Prima Mostra Internazionale di Architettura: La Presenza del Passato,87,manifestazione,annali_architettura
384030,Costantino Dardi,Coordinamento degli spazi,1980,39. Biennale arti visive 1980,52,manifestazione,annali_arti_visive
384030,Costantino Dardi,Commissione del settore Architettura,1982,Seconda Mostra Internazionale di Architettura: Architettura nei Paesi islamici,90,manifestazione,annali_architettura
384030,Costantino Dardi,Coordinamento degli spazi,1982,40. Esposizione Internazionale d'Arte: arti visive '82,240,manifestazione,annali_arti_visive
425132,André Komatsu,Artista,2013,Future Generation Art Prize @ Venice 2013 (Evento Collaterale),758,event,annali_arti_visive
433879,Eva Sorensen,Commissario,1982,Partecipazioni nazionali: Danimarca,5705,section,annali_arti_visive
365704,Rachel Whiteread,Artista,2003,The snow show: Venice (Extra 50),1207,event,annali_arti_visive
418558,Ligia Macovei,Commissario,1958,Partecipazioni nazionali: Romania,5032,section,annali_arti_visive
418558,Ligia Macovei,Giuria Internazionale di Premiazione,1958,29. Esposizione Biennale Internazionale d'Arte,231,manifestazione,annali_arti_visive
466749,James T. Demetrion,Commissione per le Arti Visive,1982,40. Esposizione Internazionale d'Arte: arti visive '82,240,manifestazione,annali_arti_visive
380927,Anna De Manincor,Artista,2005,Reaction (evento nell'ambito),191,event,annali_arti_visive
376663,Carlo Lorenzetti,Commissario,1909,Sala internazionale - Sala 4,2414,section,annali_arti_visive
376663,Carlo Lorenzetti,Commissario,1909,Sala internazionale - Sala 5,2415,section,annali_arti_visive
376663,Carlo Lorenzetti,Collocamento,1910,Salone internazionale,2504,section,annali_arti_visive
376663,Carlo Lorenzetti,Collocamento,1910,Sala italiana: Sale della gioventù inter regionale,2539,section,annali_arti_visive
376663,Carlo Lorenzetti,Commissione ordinatrice,1926,Mostra Internazionale,4031,section,annali_arti_visive
376663,Carlo Lorenzetti,Comitato di collocamento,1899,3. Esposizione Internazionale d'Arte della Città di Venezia,214,manifestazione,annali_arti_visive
376663,Carlo Lorenzetti,Comitato Ordinatore,1901,4. Esposizione Internazionale d'Arte della Città di Venezia,215,manifestazione,annali_arti_visive
376663,Carlo Lorenzetti,Comitato Ordinatore,1903,5. Esposizione Internazionale d'Arte della Città di Venezia,216,manifestazione,annali_arti_visive
376663,Carlo Lorenzetti,Collocamento delle opere nelle Sale internazionali,1905,6. Esposizione Internazionale d'Arte della Città di Venezia,217,manifestazione,annali_arti_visive
420249,François Morellet,Artista,2011,Personal Structures (Evento Collaterale),589,event,annali_arti_visive
367262,Franco Bernabè,Relatore,2003,Conferenza stampa,1451,event,annali_arti_visive
367262,Franco Bernabè,Relatore,2003,"Presentazione del libro ""La Biennale: Arte, polemiche, scandali e storie in laguna""",1454,event,annali_arti_visive
367262,Franco Bernabè,Presidente,2002,8. Mostra Internazionale di Architettura : Next,130,manifestazione,annali_architettura
367262,Franco Bernabè,Presidente,2002,DANZAMUSICATEATRO : Danza,175,manifestazione,annali_danza
367262,Franco Bernabè,Presidente,2002,59. Mostra Internazionale d’Arte Cinematografica,75,manifestazione,annali_cinema
367262,Franco Bernabè,Presidente,2002,DANZAMUSICATEATRO : Teatro,423,manifestazione,annali_teatro
367262,Franco Bernabè,Presidente,2002,DANZAMUSICATEATRO : Musica,433,manifestazione,annali_musica
367262,Franco Bernabè,Presidente,2003,60. Mostra Internazionale d’Arte Cinematografica,76,manifestazione,annali_cinema
367262,Franco Bernabè,Presidente,2003,35. Festival Internazionale del Teatro: Visionaries & Peacemakers: Building & Rebuilding,177,manifestazione,annali_teatro
367262,Franco Bernabè,Presidente,2003,50. Esposizione Internazionale d'Arte : Sogni e Conflitti - La dittatura dello spettatore,250,manifestazione,annali_arti_visive
367262,Franco Bernabè,Presidente,2003,47. Festival Internazionale di Musica Contemporanea: ReMix Structures and Improvisation,263,manifestazione,annali_musica
367262,Franco Bernabè,Presidente,2003,1. Festival Internazionale di Danza Contemporanea: Body - City,265,manifestazione,annali_danza
219116,Lina Bo Bardi,Partecipante,2004,Lina Bo Bardi: la libertà dell'architettura - (metaEVENTI),812,event,annali_architettura
425243,Vincenzo Fralleone,Collegio dei Sindaci,1978,38. Esposizione Internazionale d'Arte: dalla natura all'arte dall'arte alla natura,239,manifestazione,annali_arti_visive
425243,Vincenzo Fralleone,Collegio dei Sindaci,1979,Venezia e lo spazio scenico,442,manifestazione,annali_teatro
425243,Vincenzo Fralleone,Collegio dei Sindaci,1979,Venezia e lo spazio scenico,442,manifestazione,annali_teatro
425243,Vincenzo Fralleone,Collegio dei Sindaci,1980,Prima Mostra Internazionale di Architettura: La Presenza del Passato,87,manifestazione,annali_architettura
425243,Vincenzo Fralleone,Collegio dei Sindaci,1980,Il Tempo del Museo Venezia,439,manifestazione,altro
425243,Vincenzo Fralleone,Collegio dei Sindaci,1981,Il consumo culturale : una storia degli italiani dal '45 ai giorni nostri ,511,manifestazione,altro
425243,Vincenzo Fralleone,Collegio dei Sindaci,1982,Seconda Mostra Internazionale di Architettura: Architettura nei Paesi islamici,90,manifestazione,annali_architettura
425243,Vincenzo Fralleone,Collegio dei Sindaci,1982,40. Esposizione Internazionale d'Arte: arti visive '82,240,manifestazione,annali_arti_visive
425243,Vincenzo Fralleone,Collegio dei Sindaci,1984,"41. Esposizione Internazionale d'Arte: Arte e Arti, Attualità e Storia",241,manifestazione,annali_arti_visive
425243,Vincenzo Fralleone,Collegio dei Sindaci,1985,Terza Mostra Internazionale di Architettura : Progetto Venezia,91,manifestazione,annali_architettura
425243,Vincenzo Fralleone,Collegio dei Sindaci,1986,4. Mostra Internazionale di Architettura: Hendrik Petrus Berlage. Disegni,93,manifestazione,annali_architettura
425243,Vincenzo Fralleone,Collegio dei Sindaci,1986,42. Esposizione Internazionale d'Arte : arte e scienza,242,manifestazione,annali_arti_visive
425243,Vincenzo Fralleone,Collegio dei Sindaci,1987,44. Mostra Internazionale del Cinema,60,manifestazione,annali_cinema
425243,Vincenzo Fralleone,Revisore dei Conti,1988,43. Esposizione Internazionale d'Arte : il luogo degli artisti,243,manifestazione,annali_arti_visive
369458,Bruno Munari,Partecipante,2012,Programmare l’arte. Olivetti e le Neoavanguardie cinetiche (Evento Collaterale),706,event,annali_architettura
369458,Bruno Munari,Partecipante,2017,"Alberto Biasi, Sara Campesan, Bruno Munari e altri amici di Verifica 8+1 (Evento collaterale)",1237,event,annali_arti_visive
369458,Bruno Munari,Giuria della Mostra del Film sull'Arte,1966,27. Mostra Internazionale d'Arte Cinematografica di Venezia,40,manifestazione,annali_cinema
369458,Bruno Munari,Sottocommissione per le arti figurative,1970,35. Biennale Internazionale d'Arte,236,manifestazione,annali_arti_visive
427249,Uberto Siola,Partecipante,2006,METRÓ-POLIS: la sfida del trasporto su ferro per la riqualificazione urbana e territoriale a Napoli e in Campania (iniziativa partner),222,event,annali_architettura
378126,Cheang Shu Lea,Artista,2003,Limbo Zone (Extra 50),1201,event,annali_arti_visive
378126,Cheang Shu Lea,Artista,2019,3 x 3 x 6 (Evento collaterale),1543,event,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Analisi del vedere,7666,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Gioco/Relax,7667,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Arte e Società,5521,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Stimolazione percettiva,7672,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Forum,7668,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Produzione,7665,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Produzione - laboratori,7670,section,annali_arti_visive
377647,Davide Boriani,Allestimento,1970,Proposte per una esposizione sperimentale: Gioco/Relax - spazio attivo,7671,section,annali_arti_visive
377647,Davide Boriani,Partecipante,2012,Programmare l’arte. Olivetti e le Neoavanguardie cinetiche (Evento Collaterale),706,event,annali_architettura
387439,Marco Bagnoli,Artista,2009,IS IT POSSIBLE? Nature and Economy Together (Evento Collaterale),455,event,annali_arti_visive
387515,Jan Theodorus Toorop,Commissario,1914,Partecipazioni nazionali: Paesi Bassi,2403,section,annali_arti_visive
496179,Hale Tenger,Relatore,2017,Tavola Aperta - Hale Tenger,1358,event,annali_arti_visive
382723,Angelo Zanelli,Accettazione,1914,11. Esposizione Internazionale d'Arte della Città di Venezia,222,manifestazione,annali_arti_visive
382723,Angelo Zanelli,Consiglio Direttivo,1926,15. Esposizione Internazionale d'Arte della Città di Venezia,225,manifestazione,annali_arti_visive
393008,Vittorio Viale,Comitato di esperti,1938,Mostra Internazionale del Paesaggio del Secolo XIX - Italia - Sale 9-10,4338,section,annali_arti_visive
393008,Vittorio Viale,Commissario,1952,Paesisti piemontesi dell'Ottocento,4665,section,annali_arti_visive
393008,Vittorio Viale,Commissario,1964,Retrospettiva di Felice Casorati,5353,section,annali_arti_visive
393008,Vittorio Viale,Comitato promotore,1966,[mostra retrospettiva] Giorgio Morandi ,5411,section,annali_arti_visive
393008,Vittorio Viale,Giuria Internazionale,1962,31. Esposizione Biennale Internazionale d'Arte,233,manifestazione,annali_arti_visive
393008,Vittorio Viale,(Giuria) Commissione per il Premio Società Pininfarina,1966,33. Esposizione Biennale Internazionale d'Arte,235,manifestazione,annali_arti_visive
