year,Title,Items,Text,html,href
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Editori del catalogo,La Biennale di Venezia,La Biennale di Venezia,
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Direttore Artistico del Settore Arti Visive,Adriano Pedrosa,Adriano Pedrosa,https://asac.labiennale.org/persone/531754
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Direttore Generale,Andrea Del Mercato,Andrea Del Mercato,https://asac.labiennale.org/persone/382815
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Presidente,Pietrangelo Buttafuoco,Pietrangelo Buttafuoco,https://asac.labiennale.org/persone/407010
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Fine,23/11/2024,23/11/2024,
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Inizio,19/04/2024,19/04/2024,
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Direttore Generale,Andrea Del Mercato,Andrea Del Mercato,https://asac.labiennale.org/persone/382815
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Inizio,22/04/2022,22/04/2022,
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Fine,26/11/2022,26/11/2022,
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Presidente,Roberto Cicutto,Roberto Cicutto,https://asac.labiennale.org/persone/39157
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Editori del catalogo,La Biennale di Venezia,La Biennale di Venezia,
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Direttore Artistico del Settore Arti Visive,Cecilia Alemani,Cecilia Alemani,https://asac.labiennale.org/persone/472350
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Inizio,10/05/2019,10/05/2019,
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Presidente,Paolo Baratta,Paolo Baratta,https://asac.labiennale.org/persone/367905
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Fine,23/11/2019,23/11/2019,
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Editori del catalogo,La Biennale di Venezia,La Biennale di Venezia,
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Direttore Generale,Andrea Del Mercato,Andrea Del Mercato,https://asac.labiennale.org/persone/382815
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Direttore Artistico del Settore Arti Visive,Ralph Rugoff,Ralph Rugoff,https://asac.labiennale.org/persone/500258
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Direttore Generale,Andrea Del Mercato,Andrea Del Mercato,https://asac.labiennale.org/persone/382815
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Fine,25/11/2017,25/11/2017,
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Presidente,Paolo Baratta,Paolo Baratta,https://asac.labiennale.org/persone/367905
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Inizio,12/05/2017,12/05/2017,
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Direttore Artistico del Settore Arti Visive,Christine Macel,Christine Macel,https://asac.labiennale.org/persone/372777
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Editori del catalogo,La Biennale di Venezia,La Biennale di Venezia,
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Editori del catalogo,Marsilio,Marsilio,
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Direttore Artistico del Settore Arti Visive,Okwui Enwezor,Okwui Enwezor,https://asac.labiennale.org/persone/391007
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Direttore Generale,Andrea Del Mercato,Andrea Del Mercato,https://asac.labiennale.org/persone/382815
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Presidente,Paolo Baratta,Paolo Baratta,https://asac.labiennale.org/persone/367905
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Fine,21/11/2015,21/11/2015,
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Inizio,08/05/2015,08/05/2015,
2013,55. Esposizione Internazionale d'Arte : Il Palazzo Enciclopedico,Editori del catalogo,Marsilio,Marsilio,
2013,55. Esposizione Internazionale d'Arte : Il Palazzo Enciclopedico,Direttore Artistico del Settore Arti Visive,Massimiliano Gioni,Massimiliano Gioni,https://asac.labiennale.org/persone/381831
